"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"temperature gurgaon","2K+","January 15, 2026 at 3:10:00 AM UTC+5:30","January 15, 2026 at 10:50:00 AM UTC+5:30","temperature gurgaon,gurgaon weather,today temperature delhi,temperature in gurgaon","./explore?q=temperature%20gurgaon&geo=IN"
"alavés vs rayo vallecano","1K+","January 15, 2026 at 1:00:00 AM UTC+5:30","January 15, 2026 at 10:00:00 AM UTC+5:30","alavés vs rayo vallecano","./explore?q=alav%C3%A9s%20vs%20rayo%20vallecano&geo=IN"
"mahindra xuv 7xo xev 9s","1K+","January 15, 2026 at 12:10:00 AM UTC+5:30","January 15, 2026 at 8:40:00 AM UTC+5:30","mahindra xuv 7xo xev 9s","./explore?q=mahindra%20xuv%207xo%20xev%209s&geo=IN"
"kospi","2K+","January 15, 2026 at 12:00:00 PM UTC+5:30","January 15, 2026 at 1:20:00 PM UTC+5:30","kospi,kospi index","./explore?q=kospi&geo=IN"
"share market today open","2K+","January 15, 2026 at 9:00:00 AM UTC+5:30","January 15, 2026 at 11:40:00 AM UTC+5:30","share market today open,today share market open","./explore?q=share%20market%20today%20open&geo=IN"
"ipo status check","5K+","January 14, 2026 at 11:50:00 PM UTC+5:30","January 15, 2026 at 11:10:00 AM UTC+5:30","ipo status check,ipo status,check ipo allotment status,bharat coking coal ipo,ipo,bccl,nse ipo status,bccl allotment","./explore?q=ipo%20status%20check&geo=IN"
"franco mastantuono","1K+","January 15, 2026 at 1:20:00 AM UTC+5:30","January 15, 2026 at 8:50:00 AM UTC+5:30","franco mastantuono","./explore?q=franco%20mastantuono&geo=IN"
"libra horoscope today","1K+","January 15, 2026 at 9:50:00 AM UTC+5:30","January 15, 2026 at 12:30:00 PM UTC+5:30","libra horoscope today","./explore?q=libra%20horoscope%20today&geo=IN"
"hang seng index","2K+","January 15, 2026 at 1:30:00 PM UTC+5:30","January 15, 2026 at 2:50:00 PM UTC+5:30","hang seng index","./explore?q=hang%20seng%20index&geo=IN"
"pongal greetings","1K+","January 15, 2026 at 6:30:00 AM UTC+5:30","January 15, 2026 at 10:40:00 AM UTC+5:30","pongal greetings,pongal in tamil","./explore?q=pongal%20greetings&geo=IN"
"bayern munich","1K+","January 15, 2026 at 1:00:00 AM UTC+5:30","January 15, 2026 at 7:10:00 AM UTC+5:30","bayern munich","./explore?q=bayern%20munich&geo=IN"
"assam police","500+","January 15, 2026 at 6:10:00 PM UTC+5:30","January 15, 2026 at 8:00:00 PM UTC+5:30","assam police","./explore?q=assam%20police&geo=IN"
"josh brown","1K+","January 15, 2026 at 3:40:00 PM UTC+5:30","January 15, 2026 at 4:30:00 PM UTC+5:30","josh brown","./explore?q=josh%20brown&geo=IN"
"anaganaga oka raju budget","500+","January 15, 2026 at 2:40:00 PM UTC+5:30","January 15, 2026 at 10:30:00 PM UTC+5:30","anaganaga oka raju budget","./explore?q=anaganaga%20oka%20raju%20budget&geo=IN"
"temperature delhi","2K+","January 15, 2026 at 6:50:00 AM UTC+5:30","January 15, 2026 at 9:20:00 AM UTC+5:30","temperature delhi,delhi temperature today,weather new delhi,temperature noida,delhi weather today,noida temperature","./explore?q=temperature%20delhi&geo=IN"
"mana shankara varaprasad garu","500+","January 15, 2026 at 4:50:00 AM UTC+5:30","January 15, 2026 at 9:00:00 AM UTC+5:30","mana shankara varaprasad garu","./explore?q=mana%20shankara%20varaprasad%20garu&geo=IN"
"beatriz","1K+","January 15, 2026 at 11:40:00 AM UTC+5:30","January 15, 2026 at 2:00:00 PM UTC+5:30","beatriz","./explore?q=beatriz&geo=IN"
"wellington vs otago","1K+","January 15, 2026 at 1:20:00 PM UTC+5:30","January 15, 2026 at 2:50:00 PM UTC+5:30","wellington vs otago,otago vs wellington","./explore?q=wellington%20vs%20otago&geo=IN"
"afcon 2025","2K+","January 15, 2026 at 12:20:00 AM UTC+5:30","January 15, 2026 at 8:30:00 AM UTC+5:30","afcon 2025,egypt,egypt fc,sadio mané,senegal,senegal fc,where to watch senegal national football team vs egypt national football team,senegal national football team","./explore?q=afcon%202025&geo=IN"
"real madrid vs","1K+","January 15, 2026 at 1:50:00 AM UTC+5:30","January 15, 2026 at 5:30:00 AM UTC+5:30","real madrid vs,madrid,madrid vs","./explore?q=real%20madrid%20vs&geo=IN"
"mcc","500+","January 15, 2026 at 12:10:00 PM UTC+5:30","January 15, 2026 at 2:10:00 PM UTC+5:30","mcc","./explore?q=mcc&geo=IN"
"hang seng","1K+","January 15, 2026 at 1:30:00 PM UTC+5:30","January 15, 2026 at 2:50:00 PM UTC+5:30","hang seng","./explore?q=hang%20seng&geo=IN"
"karunya plus lottery result today","2K+","January 15, 2026 at 4:10:00 PM UTC+5:30","January 15, 2026 at 5:20:00 PM UTC+5:30","karunya plus lottery result today,karunya plus lottery result,kerala lottery result today 3pm,lottery result today","./explore?q=karunya%20plus%20lottery%20result%20today&geo=IN"
"hit 3","500+","January 15, 2026 at 1:10:00 PM UTC+5:30","January 15, 2026 at 3:40:00 PM UTC+5:30","hit 3","./explore?q=hit%203&geo=IN"
"mavericks vs nuggets","500+","January 15, 2026 at 9:00:00 AM UTC+5:30","January 15, 2026 at 12:20:00 PM UTC+5:30","mavericks vs nuggets","./explore?q=mavericks%20vs%20nuggets&geo=IN"
"where to watch chelsea f.c. vs arsenal f.c.","1K+","January 15, 2026 at 1:40:00 AM UTC+5:30","January 15, 2026 at 4:20:00 AM UTC+5:30","where to watch chelsea f.c. vs arsenal f.c.,kepa arrizabalaga,chelsea f.c. vs arsenal f.c. lineups","./explore?q=where%20to%20watch%20chelsea%20f.c.%20vs%20arsenal%20f.c.&geo=IN"
"us iran news","1K+","January 14, 2026 at 11:20:00 PM UTC+5:30","January 15, 2026 at 8:40:00 AM UTC+5:30","us iran news,us iran,on","./explore?q=us%20iran%20news&geo=IN"
"border 2 trailer","200+","January 15, 2026 at 4:40:00 PM UTC+5:30","January 15, 2026 at 6:20:00 PM UTC+5:30","border 2 trailer","./explore?q=border%202%20trailer&geo=IN"
"punjab and haryana high court","500+","January 15, 2026 at 10:00:00 AM UTC+5:30","January 15, 2026 at 12:20:00 PM UTC+5:30","punjab and haryana high court","./explore?q=punjab%20and%20haryana%20high%20court&geo=IN"
"marc guiu","500+","January 15, 2026 at 1:10:00 AM UTC+5:30","January 15, 2026 at 8:00:00 AM UTC+5:30","marc guiu","./explore?q=marc%20guiu&geo=IN"
"रविंद्र जडेजा","500+","January 15, 2026 at 1:10:00 PM UTC+5:30","January 15, 2026 at 3:00:00 PM UTC+5:30","रविंद्र जडेजा","./explore?q=%E0%A4%B0%E0%A4%B5%E0%A4%BF%E0%A4%82%E0%A4%A6%E0%A5%8D%E0%A4%B0%20%E0%A4%9C%E0%A4%A1%E0%A5%87%E0%A4%9C%E0%A4%BE&geo=IN"
"bulawayo","500+","January 15, 2026 at 4:40:00 PM UTC+5:30","January 15, 2026 at 6:00:00 PM UTC+5:30","bulawayo","./explore?q=bulawayo&geo=IN"
"real madrid match","500+","January 15, 2026 at 1:30:00 AM UTC+5:30","January 15, 2026 at 4:40:00 AM UTC+5:30","real madrid match","./explore?q=real%20madrid%20match&geo=IN"
"cfa level 2 results","200+","January 15, 2026 at 6:40:00 PM UTC+5:30","January 15, 2026 at 7:40:00 PM UTC+5:30","cfa level 2 results","./explore?q=cfa%20level%202%20results&geo=IN"
"ccsu","500+","January 15, 2026 at 9:30:00 AM UTC+5:30","January 15, 2026 at 12:40:00 PM UTC+5:30","ccsu","./explore?q=ccsu&geo=IN"
"today calendar","500+","January 15, 2026 at 6:30:00 AM UTC+5:30","January 15, 2026 at 9:50:00 AM UTC+5:30","today calendar","./explore?q=today%20calendar&geo=IN"
"jac","500+","January 15, 2026 at 10:10:00 AM UTC+5:30","January 15, 2026 at 12:30:00 PM UTC+5:30","jac","./explore?q=jac&geo=IN"
"mayawati birthday","500+","January 15, 2026 at 8:10:00 AM UTC+5:30","January 15, 2026 at 11:00:00 AM UTC+5:30","mayawati birthday","./explore?q=mayawati%20birthday&geo=IN"
"gold silver price","500+","January 15, 2026 at 5:40:00 AM UTC+5:30","January 15, 2026 at 8:40:00 AM UTC+5:30","gold silver price,gold rate today 24 carat","./explore?q=gold%20silver%20price&geo=IN"
"hdfc life","500+","January 15, 2026 at 9:40:00 AM UTC+5:30","January 15, 2026 at 11:20:00 AM UTC+5:30","hdfc life","./explore?q=hdfc%20life&geo=IN"
"air india express","500+","January 15, 2026 at 2:20:00 AM UTC+5:30","January 15, 2026 at 9:40:00 AM UTC+5:30","air india express","./explore?q=air%20india%20express&geo=IN"
"nominate","500+","January 15, 2026 at 6:30:00 AM UTC+5:30","January 15, 2026 at 8:40:00 AM UTC+5:30","nominate","./explore?q=nominate&geo=IN"
"manuel manuel angel","500+","January 15, 2026 at 3:20:00 AM UTC+5:30","January 15, 2026 at 9:00:00 AM UTC+5:30","manuel manuel angel","./explore?q=manuel%20manuel%20angel&geo=IN"
"paulista a1","500+","January 15, 2026 at 6:30:00 AM UTC+5:30","January 15, 2026 at 9:40:00 AM UTC+5:30","paulista a1","./explore?q=paulista%20a1&geo=IN"
"pseb","500+","January 15, 2026 at 9:40:00 AM UTC+5:30","January 15, 2026 at 11:40:00 AM UTC+5:30","pseb","./explore?q=pseb&geo=IN"
"intel share price","200+","January 15, 2026 at 8:50:00 PM UTC+5:30","January 15, 2026 at 9:10:00 PM UTC+5:30","intel share price","./explore?q=intel%20share%20price&geo=IN"
"emma raducanu","500+","January 15, 2026 at 10:50:00 AM UTC+5:30","January 15, 2026 at 1:30:00 PM UTC+5:30","emma raducanu","./explore?q=emma%20raducanu&geo=IN"
"today stock market","500+","January 15, 2026 at 9:10:00 AM UTC+5:30","January 15, 2026 at 10:50:00 AM UTC+5:30","today stock market,dow jones index","./explore?q=today%20stock%20market&geo=IN"
"akor adams","500+","January 15, 2026 at 1:40:00 AM UTC+5:30","January 15, 2026 at 4:50:00 AM UTC+5:30","akor adams","./explore?q=akor%20adams&geo=IN"
"voting list","500+","January 15, 2026 at 8:30:00 AM UTC+5:30","January 15, 2026 at 11:10:00 AM UTC+5:30","voting list","./explore?q=voting%20list&geo=IN"
"anaganaga oka raju naveen polishetty","200+","January 15, 2026 at 4:20:00 PM UTC+5:30","January 15, 2026 at 5:00:00 PM UTC+5:30","anaganaga oka raju naveen polishetty","./explore?q=anaganaga%20oka%20raju%20naveen%20polishetty&geo=IN"
"pm awas yojana","200+","January 15, 2026 at 8:00:00 PM UTC+5:30","January 15, 2026 at 8:20:00 PM UTC+5:30","pm awas yojana","./explore?q=pm%20awas%20yojana&geo=IN"
"bangu vs flamengo","200+","January 15, 2026 at 7:10:00 AM UTC+5:30","January 15, 2026 at 9:20:00 AM UTC+5:30","bangu vs flamengo","./explore?q=bangu%20vs%20flamengo&geo=IN"
"bank of maharashtra","500+","January 15, 2026 at 10:30:00 AM UTC+5:30","January 15, 2026 at 12:00:00 PM UTC+5:30","bank of maharashtra","./explore?q=bank%20of%20maharashtra&geo=IN"
"bigg boss","500+","January 15, 2026 at 10:50:00 AM UTC+5:30","January 15, 2026 at 12:30:00 PM UTC+5:30","bigg boss","./explore?q=bigg%20boss&geo=IN"
"பொங்கல்","200+","January 15, 2026 at 7:00:00 AM UTC+5:30","January 15, 2026 at 9:20:00 AM UTC+5:30","பொங்கல்","./explore?q=%E0%AE%AA%E0%AF%8A%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%B2%E0%AF%8D&geo=IN"
"is today a bank holiday","500+","January 15, 2026 at 9:40:00 AM UTC+5:30","January 15, 2026 at 11:20:00 AM UTC+5:30","is today a bank holiday","./explore?q=is%20today%20a%20bank%20holiday&geo=IN"
"15 जनवरी कुंभ राशिफल","200+","January 15, 2026 at 4:10:00 PM UTC+5:30","January 15, 2026 at 5:00:00 PM UTC+5:30","15 जनवरी कुंभ राशिफल","./explore?q=15%20%E0%A4%9C%E0%A4%A8%E0%A4%B5%E0%A4%B0%E0%A5%80%20%E0%A4%95%E0%A5%81%E0%A4%82%E0%A4%AD%20%E0%A4%B0%E0%A4%BE%E0%A4%B6%E0%A4%BF%E0%A4%AB%E0%A4%B2&geo=IN"
"javi villar","200+","January 15, 2026 at 2:20:00 AM UTC+5:30","January 15, 2026 at 7:40:00 AM UTC+5:30","javi villar","./explore?q=javi%20villar&geo=IN"
"mpesb","500+","January 15, 2026 at 1:30:00 PM UTC+5:30","January 15, 2026 at 2:30:00 PM UTC+5:30","mpesb","./explore?q=mpesb&geo=IN"
"imran khan actor","500+","January 15, 2026 at 12:50:00 AM UTC+5:30","January 15, 2026 at 6:20:00 AM UTC+5:30","imran khan actor,imran khan","./explore?q=imran%20khan%20actor&geo=IN"
"euphoria season 3","200+","January 15, 2026 at 12:00:00 AM UTC+5:30","January 15, 2026 at 4:50:00 AM UTC+5:30","euphoria season 3","./explore?q=euphoria%20season%203&geo=IN"
"shashi tharoor","200+","January 15, 2026 at 12:20:00 AM UTC+5:30","January 15, 2026 at 4:30:00 AM UTC+5:30","shashi tharoor","./explore?q=shashi%20tharoor&geo=IN"
"बारिश","200+","January 15, 2026 at 7:00:00 AM UTC+5:30","January 15, 2026 at 8:50:00 AM UTC+5:30","बारिश,मानसून","./explore?q=%E0%A4%AC%E0%A4%BE%E0%A4%B0%E0%A4%BF%E0%A4%B6&geo=IN"
"napoli","500+","January 15, 2026 at 12:30:00 AM UTC+5:30","January 15, 2026 at 2:00:00 AM UTC+5:30","napoli","./explore?q=napoli&geo=IN"
"mouni roy","500+","January 14, 2026 at 11:50:00 PM UTC+5:30","January 15, 2026 at 3:40:00 AM UTC+5:30","mouni roy","./explore?q=mouni%20roy&geo=IN"
"rma vs","200+","January 15, 2026 at 2:10:00 AM UTC+5:30","January 15, 2026 at 4:40:00 AM UTC+5:30","rma vs","./explore?q=rma%20vs&geo=IN"
"मूवी","200+","January 15, 2026 at 4:20:00 PM UTC+5:30","January 15, 2026 at 5:00:00 PM UTC+5:30","मूवी","./explore?q=%E0%A4%AE%E0%A5%82%E0%A4%B5%E0%A5%80&geo=IN"
"pradosh vrat kab hai","200+","January 15, 2026 at 7:30:00 AM UTC+5:30","January 15, 2026 at 9:20:00 AM UTC+5:30","pradosh vrat kab hai","./explore?q=pradosh%20vrat%20kab%20hai&geo=IN"
"elon musk net worth","200+","January 15, 2026 at 1:20:00 AM UTC+5:30","January 15, 2026 at 9:50:00 AM UTC+5:30","elon musk net worth","./explore?q=elon%20musk%20net%20worth&geo=IN"
"ben shelton","200+","January 15, 2026 at 12:10:00 PM UTC+5:30","January 15, 2026 at 1:20:00 PM UTC+5:30","ben shelton","./explore?q=ben%20shelton&geo=IN"
"prabhas raja saab box office collection","200+","January 15, 2026 at 1:10:00 AM UTC+5:30","January 15, 2026 at 6:30:00 AM UTC+5:30","prabhas raja saab box office collection","./explore?q=prabhas%20raja%20saab%20box%20office%20collection&geo=IN"
"kiss","200+","January 15, 2026 at 10:20:00 AM UTC+5:30","January 15, 2026 at 11:30:00 AM UTC+5:30","kiss","./explore?q=kiss&geo=IN"
"ademola lookman","200+","January 15, 2026 at 2:00:00 AM UTC+5:30","January 15, 2026 at 5:00:00 AM UTC+5:30","ademola lookman","./explore?q=ademola%20lookman&geo=IN"
"bayern","200+","January 15, 2026 at 1:40:00 AM UTC+5:30","January 15, 2026 at 3:50:00 AM UTC+5:30","bayern","./explore?q=bayern&geo=IN"
"celina jaitley","200+","January 15, 2026 at 2:50:00 AM UTC+5:30","January 15, 2026 at 8:40:00 AM UTC+5:30","celina jaitley","./explore?q=celina%20jaitley&geo=IN"
"super smash women","200+","January 15, 2026 at 4:50:00 AM UTC+5:30","January 15, 2026 at 7:30:00 AM UTC+5:30","super smash women","./explore?q=super%20smash%20women&geo=IN"
"raja bhaiya","200+","January 15, 2026 at 2:30:00 AM UTC+5:30","January 15, 2026 at 10:50:00 AM UTC+5:30","raja bhaiya","./explore?q=raja%20bhaiya&geo=IN"
"peacock","200+","January 15, 2026 at 6:20:00 AM UTC+5:30","January 15, 2026 at 9:10:00 AM UTC+5:30","peacock","./explore?q=peacock&geo=IN"
"uefa champions league","200+","January 15, 2026 at 2:50:00 AM UTC+5:30","January 15, 2026 at 5:00:00 AM UTC+5:30","uefa champions league","./explore?q=uefa%20champions%20league&geo=IN"
"pmc","200+","January 15, 2026 at 10:30:00 AM UTC+5:30","January 15, 2026 at 12:40:00 PM UTC+5:30","pmc","./explore?q=pmc&geo=IN"
"andriy lunin","200+","January 15, 2026 at 2:10:00 AM UTC+5:30","January 15, 2026 at 4:30:00 AM UTC+5:30","andriy lunin","./explore?q=andriy%20lunin&geo=IN"
"michael phelps","200+","January 15, 2026 at 12:20:00 AM UTC+5:30","January 15, 2026 at 3:40:00 AM UTC+5:30","michael phelps","./explore?q=michael%20phelps&geo=IN"
"clippers vs wizards","200+","January 15, 2026 at 11:50:00 AM UTC+5:30","January 15, 2026 at 12:40:00 PM UTC+5:30","clippers vs wizards","./explore?q=clippers%20vs%20wizards&geo=IN"
"omar marmoush","200+","January 14, 2026 at 11:20:00 PM UTC+5:30","January 15, 2026 at 1:30:00 AM UTC+5:30","omar marmoush","./explore?q=omar%20marmoush&geo=IN"
"iran protests","100+","January 15, 2026 at 4:00:00 AM UTC+5:30","January 15, 2026 at 5:40:00 AM UTC+5:30","iran protests","./explore?q=iran%20protests&geo=IN"
"gta vi","200+","January 15, 2026 at 6:40:00 AM UTC+5:30","January 15, 2026 at 7:50:00 AM UTC+5:30","gta vi","./explore?q=gta%20vi&geo=IN"
"vivo x200t","100+","January 15, 2026 at 3:40:00 AM UTC+5:30","January 15, 2026 at 7:30:00 AM UTC+5:30","vivo x200t","./explore?q=vivo%20x200t&geo=IN"
"jennifer lawrence","200+","January 15, 2026 at 12:40:00 AM UTC+5:30","January 15, 2026 at 4:20:00 AM UTC+5:30","jennifer lawrence","./explore?q=jennifer%20lawrence&geo=IN"
"segunda división","100+","January 15, 2026 at 3:40:00 AM UTC+5:30","January 15, 2026 at 4:50:00 AM UTC+5:30","segunda división","./explore?q=segunda%20divisi%C3%B3n&geo=IN"
"madison keys","200+","January 15, 2026 at 10:20:00 AM UTC+5:30","January 15, 2026 at 11:10:00 AM UTC+5:30","madison keys","./explore?q=madison%20keys&geo=IN"
"regretting you","100+","January 15, 2026 at 1:30:00 AM UTC+5:30","January 15, 2026 at 3:20:00 AM UTC+5:30","regretting you","./explore?q=regretting%20you&geo=IN"
"वीडियो मूवी","100+","January 15, 2026 at 2:50:00 AM UTC+5:30","January 15, 2026 at 3:50:00 AM UTC+5:30","वीडियो मूवी","./explore?q=%E0%A4%B5%E0%A5%80%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A5%8B%20%E0%A4%AE%E0%A5%82%E0%A4%B5%E0%A5%80&geo=IN"
"umair pakistani viral video","200+","January 15, 2026 at 1:10:00 AM UTC+5:30","January 15, 2026 at 3:20:00 AM UTC+5:30","umair pakistani viral video","./explore?q=umair%20pakistani%20viral%20video&geo=IN"
"bulls vs jazz","200+","January 15, 2026 at 10:20:00 AM UTC+5:30","January 15, 2026 at 11:00:00 AM UTC+5:30","bulls vs jazz","./explore?q=bulls%20vs%20jazz&geo=IN"
"ashika ranganath","100+","January 15, 2026 at 1:10:00 AM UTC+5:30","January 15, 2026 at 7:00:00 AM UTC+5:30","ashika ranganath","./explore?q=ashika%20ranganath&geo=IN"
"apple creator studio apps","100+","January 15, 2026 at 5:00:00 AM UTC+5:30","January 15, 2026 at 6:20:00 AM UTC+5:30","apple creator studio apps,apple india","./explore?q=apple%20creator%20studio%20apps&geo=IN"
"ca","100+","January 15, 2026 at 2:50:00 AM UTC+5:30","January 15, 2026 at 4:20:00 AM UTC+5:30","ca","./explore?q=ca&geo=IN"
"al","100+","January 15, 2026 at 8:30:00 AM UTC+5:30","January 15, 2026 at 9:10:00 AM UTC+5:30","al","./explore?q=al&geo=IN"
"viktor gyökeres","100+","January 15, 2026 at 3:30:00 AM UTC+5:30","January 15, 2026 at 4:30:00 AM UTC+5:30","viktor gyökeres","./explore?q=viktor%20gy%C3%B6keres&geo=IN"
"শুভশ্রী গঙ্গোপাধ্যায়","100+","January 15, 2026 at 1:10:00 AM UTC+5:30","January 15, 2026 at 2:10:00 AM UTC+5:30","শুভশ্রী গঙ্গোপাধ্যায়","./explore?q=%E0%A6%B6%E0%A7%81%E0%A6%AD%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%80%20%E0%A6%97%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A7%8B%E0%A6%AA%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AF%E0%A6%BC&geo=IN"
"sreeleela","200+","January 15, 2026 at 12:20:00 AM UTC+5:30","January 15, 2026 at 1:00:00 AM UTC+5:30","sreeleela","./explore?q=sreeleela&geo=IN"
"tula rashi today","100+","January 15, 2026 at 7:50:00 AM UTC+5:30","January 15, 2026 at 8:30:00 AM UTC+5:30","tula rashi today","./explore?q=tula%20rashi%20today&geo=IN"
"gta v","100+","January 15, 2026 at 7:00:00 AM UTC+5:30","January 15, 2026 at 7:40:00 AM UTC+5:30","gta v","./explore?q=gta%20v&geo=IN"
"vaa vaathiyaar release date","100+","January 15, 2026 at 7:30:00 AM UTC+5:30","January 15, 2026 at 8:20:00 AM UTC+5:30","vaa vaathiyaar release date","./explore?q=vaa%20vaathiyaar%20release%20date&geo=IN"
"ssc mts exam date 2025","100+","January 15, 2026 at 8:50:00 AM UTC+5:30","January 15, 2026 at 9:20:00 AM UTC+5:30","ssc mts exam date 2025","./explore?q=ssc%20mts%20exam%20date%202025&geo=IN"
"uber","100+","January 15, 2026 at 4:30:00 AM UTC+5:30","January 15, 2026 at 5:20:00 AM UTC+5:30","uber","./explore?q=uber&geo=IN"
"ndtv","100+","January 15, 2026 at 5:20:00 AM UTC+5:30","January 15, 2026 at 5:50:00 AM UTC+5:30","ndtv","./explore?q=ndtv&geo=IN"
"can","100+","January 15, 2026 at 7:50:00 AM UTC+5:30","January 15, 2026 at 8:20:00 AM UTC+5:30","can","./explore?q=can&geo=IN"
"nato","100+","January 15, 2026 at 1:20:00 AM UTC+5:30","January 15, 2026 at 2:30:00 AM UTC+5:30","nato","./explore?q=nato&geo=IN"
"us holidays 2026","100+","January 15, 2026 at 2:00:00 AM UTC+5:30","January 15, 2026 at 4:00:00 AM UTC+5:30","us holidays 2026","./explore?q=us%20holidays%202026&geo=IN"
"blue video","200+","January 15, 2026 at 1:00:00 AM UTC+5:30","January 15, 2026 at 1:20:00 AM UTC+5:30","blue video","./explore?q=blue%20video&geo=IN"
"bitcoin","100+","January 15, 2026 at 1:40:00 AM UTC+5:30","January 15, 2026 at 2:10:00 AM UTC+5:30","bitcoin","./explore?q=bitcoin&geo=IN"
"botschafter","100+","January 15, 2026 at 7:40:00 AM UTC+5:30","January 15, 2026 at 8:00:00 AM UTC+5:30","botschafter","./explore?q=botschafter&geo=IN"
